label,window,w_momentum,w_quality,w_volatility,sharpe,sortino,cagr,volatility,max_drawdown,hit_rate_monthly,turnover_avg
grid,3yr,0.7,0.0,0.3,0.8824973674009726,1.1169952108608454,0.12788051268165246,0.0972423653510337,-0.09118331592428064,0.7027027027027027,0.5226087116277199
grid,full,0.7,0.1,0.2,0.6905431183675097,0.8894385513097651,0.10727840418510715,0.09714805425413972,-0.09388889395457489,0.6382978723404256,0.4808493032058136
grid,3yr,0.7,0.1,0.2,1.1466578154329565,1.4882608992070467,0.16413341513285706,0.10312219218043224,-0.09388889395457489,0.7297297297297297,0.5173976342952797
grid,full,0.7,0.2,0.1,0.7803857673329794,1.0318598782787918,0.12701492849192952,0.11048365859921334,-0.11003452437843364,0.6382978723404256,0.46239571671454166
grid,3yr,0.7,0.2,0.1,1.2945594944320546,1.7502004418924748,0.19998538824272805,0.11601528127190569,-0.10236487494433766,0.7297297297297297,0.4903408910694107
grid,full,0.7,0.3,0.0,0.1853742473304879,0.20698792090606907,0.05643973933583046,0.24091567844701905,-0.38891814356004994,0.6382978723404256,0.46504090798461956
grid,3yr,0.7,0.3,0.0,0.3718479625945578,0.39369933096792353,0.10325624459533667,0.2326784478309773,-0.3889181435600497,0.6756756756756757,0.4980594575042182
grid,full,0.8,0.0,0.2,0.7537160460813329,0.9563046647725746,0.11422534845672505,0.09737251290039861,-0.09441436009014648,0.6170212765957447,0.5161990088446633
grid,3yr,0.8,0.0,0.2,1.1433732080532597,1.4747924802157877,0.16535314431894665,0.10446290173951342,-0.0944143600901467,0.7297297297297297,0.5296726595582121
grid,full,0.8,0.1,0.1,0.7874607375873628,1.033334883071939,0.12961763814132565,0.11275914586478547,-0.11340320862708553,0.6382978723404256,0.4817490249468052
grid,3yr,0.8,0.1,0.1,1.2954930367026398,1.7457619084911886,0.2028357537848111,0.1179511042692142,-0.10560239329346999,0.7297297297297297,0.5083876872002969
grid,full,0.8,0.2,0.0,0.30029275661254234,0.3407592197844248,0.0868220301944167,0.2576852397320684,-0.37666147524048954,0.6382978723404256,0.45849913016536215
grid,3yr,0.8,0.2,0.0,0.4408926785420146,0.4777396702326268,0.12428831619976943,0.2475695732368196,-0.37666147524048943,0.6756756756756757,0.48907475485679086
grid,full,0.9,0.0,0.1,0.8170518186195491,1.0638995533062807,0.13381505040892083,0.11331639181790633,-0.10708516159571546,0.6382978723404256,0.5150052086278276
grid,3yr,0.9,0.0,0.1,1.2611221637093681,1.6907433990449088,0.19910050699171866,0.11876117956267772,-0.10708516159571557,0.7297297297297297,0.5350863467900546
grid,full,0.9,0.1,0.0,0.351532372926128,0.40604677262035793,0.1030769834866403,0.27923108041473244,-0.3604232045461778,0.5957446808510638,0.45685366902849395
grid,3yr,0.9,0.1,0.0,0.4649969254400977,0.5131851547267025,0.13592253119433484,0.269193664089451,-0.3604232045461778,0.6486486486486487,0.48609138706702976
